Name,Nipuna Pannala,,,
Email,NRanasinghe@lseg.com,,,
Basic,50000,,,
Date,OT_Hours,OT_Allowance,On_Call_Hours,Oncall_Allowance
20190201,2,2000,0,0
20190202,0,0,5,2500
20190203,1,1000,1,500
20190204,0,0,2,1000
20190205,0,0,0,0
20190206,0,0,0,0
20190207,5,5000,1,500
20190208,2,2000,1,500
20190209,2,2000,5,500
20190210,1,1000,1,500
20190211,2,2000,1,500
20190212,3,3000,1,500
20190213,0,0,2,1000
20190214,2,0,2,1000
20190215,0,0,2,1000
20190216,0,0,2,1000
20190217,1,1,2,1000
20190218,0,0,2,1000
20190219,0,0,4,2000
20190220,5,0,4,2000
20190221,0,0,6,3000
20190222,2,2000,1,500
20190223,4,4000,1,500
20190224,0,1000,0,0
20190225,0,0,0,0
20190226,1,1000,0,0
20190227,2,2000,0,0
20190228,0,0,8,0
